OCUPAÇÃO,REF-ALT,CNAE,DESCRIÇÃO SUBCLASSE CNAE,ISS,ICMS
MOENDEIRO(A),,1069-4/00,MOAGEM E FABRICAÇÃO DE PRODUTOS DE ORIGEM VEGETAL NÃO ESPECIFICADOS ANTERIORMENTE,N,S
MONTADOR(A) DE MÓVEIS,,01/05/3329,SERVIÇOS DE MONTAGEM DE MÓVEIS DE QUALQUER MATERIAL,S,N
"MONTADOR(A) E INSTALADOR DE SISTEMAS E EQUIPAMENTOS DE ILUMINAÇÃO E SINALIZAÇÃO EM VIAS PÚBLICAS, PORTOS E AEROPORTOS",,04/01/4329,"MONTAGEM E INSTALAÇÃO DE SISTEMAS E EQUIPAMENTOS DE ILUMINAÇÃO E SINALIZAÇÃO EM VIAS PÚBLICAS, PORTOS E AEROPORTOS",S,N
MOTOBOY,,02/02/5320,SERVIÇOS DE ENTREGA RÁPIDA,S,N
MOTOTAXISTA,,4923-0/01,SERVIÇO DE TÁXI,S,N
MOVELEIRO(A),,3103-9/00,"FABRICAÇÃO DE MÓVEIS DE OUTROS MATERIAIS, EXCETO MADEIRA E METAL",N,S
MOVELEIRO(A) DE MÓVEIS METÁLICOS,,3102-1/00,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE METAL,N,S
OLEIRO(A),,02/07/2342,"FABRICAÇÃO DE ARTEFATOS DE CERÂMICA E BARRO COZIDO PARA USO NA CONSTRUÇÃO, EXCETO AZULEJOS E PISOS",N,S
OPERADOR(A) DE MARKETING DIRETO,,7319-0/03,MARKETING DIRETO,S,N
"ORGANIZADOR(A) DE EXCURSÕES EM VEÍCULO PRÓPRIO, MUNICIPAL",,03/09/4929,"ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, MUNICIPAL",S,N
OURIVES,,06/01/9529,REPARAÇÃO DE JÓIAS,S,N
PADEIRO(A),,01/01/1091,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO,N,S
PANFLETEIRO(A),,7319-0/02,PROMOÇÃO DE VENDAS,S,N
PAPELEIRO(A),,4761-0/03,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA,N,S
PASTILHEIRO(A),,05/04/4330,APLICAÇÃO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES,S,N
PEDREIRO,,03/01/4399,OBRAS DE ALVENARIA,S,N
PEIXEIRO(A),,02/09/4722,PEIXARIA,N,S
PERSONAL TRAINER ,"(Incluído pela Resolução CGSN nº 111, de 2013)",9313-1/00,ATIVIDADES DE CONDICIONAMENTO FÍSICO,S,N
PINTOR(A) DE AUTOMÓVEIS,,4520-0/02,SERVIÇOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEÍCULOS AUTOMOTORES,S,N
PINTOR(A) DE PAREDE,,04/04/4330,SERVIÇOS DE PINTURA DE EDIFÍCIOS EM GERAL,S,N
PIPOQUEIRO(A),,5612-1/00,SERVIÇOS AMBULANTES DE ALIMENTAÇÃO,N,S
PIROTÉCNICO(A),,02/04/2092,FABRICAÇÃO DE ARTIGOS PIROTÉCNICOS,N,S
PISCINEIRO(A) ,(Incluído pela Resolução CGSN nº 117/2014),8129-0/00,ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE,S,N
PIZZAIOLO(A) EM DOMICÍLIO,,02/01/5620,SERVIÇOS DE ALIMENTAÇÃO PARA EVENTOS E RECEPÇÕES - BUFÊ,S,S
POCEIRO/CISTERNEIRO/CACIMBEIRO,,05/01/4399,PERFURAÇÃO E CONSTRUÇÃO DE POÇOS DE ÁGUA,S,N
"PRODUTOR DE PEDRAS PARA CONSTRUÇÃO, NÃO ASSOCIADA À EXTRAÇÃO",,02/05/2391,"APARELHAMENTO DE PEDRAS PARA CONSTRUÇÃO, EXCETO ASSOCIADO À EXTRAÇÃO",N,S
PROFESSOR(A) PARTICULAR,,8599-6/99,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,S,N
PROMOTOR(A) DE EVENTOS,,8230-0/01,"SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",S,N
PROMOTOR(A) DE TURISMO LOCAL,,7990-2/00,SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE,S,N
PROMOTOR(A) DE VENDAS,,7319-0/02,PROMOÇÃO DE VENDAS,S,N
PROPRIETÁRIO(A) DE ALBERGUE NÃO ASSISTENCIAL,,01/06/5590,"ALBERGUES, EXCETO ASSISTENCIAIS",S,N
PROPRIETÁRIO(A) DE BAR E CONGÊNERES,,02/02/5611,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS,N,S
PROPRIETÁRIO(A) DE CAMPING,,02/06/5590,CAMPINGS,S,N
PROPRIETÁRIO(A) DE CANTINAS,,03/01/5620,CANTINAS - SERVIÇOS DE ALIMENTAÇÃO PRIVATIVOS,N,S
PROPRIETÁRIO(A) DE CARRO DE SOM PARA FINS PUBLICITÁRIOS,,7319-0/99,OUTRAS ATIVIDADES DE PUBLICIDADE NÃO ESPECIFICADAS ANTERIORMENTE,S,N
PROPRIETÁRIO(A) DE CASA DE CHÁ,,03/02/5611,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",N,S
PROPRIETÁRIO(A) DE CASA DE SUCOS,,03/02/5611,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",N,S
PROPRIETÁRIO(A) DE CASAS DE FESTAS E EVENTOS,,8230-0/02,CASAS DE FESTAS E EVENTOS,S,N
PROPRIETÁRIO(A) DE ESTACIONAMENTO DE VEÍCULOS,,5223-1/00,ESTACIONAMENTO DE VEÍCULOS,S,N
PROPRIETÁRIO(A) DE FLIPERAMA,,04/08/9329,EXPLORAÇÃO DE JOGOS ELETRÔNICOS RECREATIVOS,S,N
PROPRIETÁRIO(A) DE HOSPEDARIA,,5590-6/99,OUTROS ALOJAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
PROPRIETÁRIO(A) DE LANCHONETE,,03/02/5611,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",N,S
PROPRIETÁRIO(A) DE PENSÃO,,03/06/5590,PENSÕES (ALOJAMENTO),S,N
PROPRIETÁRIO(A) DE RESTAURANTE,,01/02/5611,RESTAURANTES E SIMILARES,N,S
PROPRIETÁRIO(A) DE SALA DE ACESSO À INTERNET,,07/07/8299,SALAS DE ACESSO À INTERNET,S,N
PROPRIETÁRIO(A) DE SALÃO DE JOGOS DE SINUCA E BILHAR,,03/08/9329,"EXPLORAÇÃO DE JOGOS DE SINUCA, BILHAR E SIMILARES",S,N
QUEIJEIRO(A)/ MANTEIGUEIRO(A),,1052-0/00,FABRICAÇÃO DE LATICÍNIOS,N,S
QUITANDEIRO(A),,4729-6/99,COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
QUITANDEIRO(A) AMBULANTE,,5612-1/00,SERVIÇOS AMBULANTES DE ALIMENTAÇÃO,N,S
RECARREGADOR(A) DE CARTUCHOS PARA EQUIPAMENTOS DE INFORMÁTICA,,02/02/4751,RECARGA DE CARTUCHOS PARA EQUIPAMENTOS DE INFORMÁTICA,S,S
REDEIRO(A),,1353-7/00,FABRICAÇÃO DE ARTEFATOS DE CORDOARIA,N,S
RELOJOEIRO(A),,03/01/9529,REPARAÇÃO DE RELÓGIOS,S,N
REMOVEDOR E EXUMADOR DE CADÁVER,,9603-3/99,ATIVIDADES FUNERÁRIAS E SERVIÇOS RELACIONADOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
RENDEIRO(A),,1359-6/00,FABRICAÇÃO DE OUTROS PRODUTOS TÊXTEIS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
REPARADOR(A) DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA,,3313-9/99,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE",S,N
REPARADOR(A) DE ARTIGOS E ACESSÓRIOS DO VESTUÁRIO,,9529-1/99,REPARAÇÃO E MANUTENÇÃO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
REPARADOR(A) DE BALANÇAS INDUSTRIAIS E COMERCIAIS,,10/07/3314,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE,S,N
"REPARADOR(A) DE BATERIAS E ACUMULADORES ELÉTRICOS, EXCETO PARA VEÍCULOS",,02/09/3313,"MANUTENÇÃO E REPARAÇÃO DE BATERIAS E ACUMULADORES ELÉTRICOS, EXCETO PARA VEÍCULOS",S,N
REPARADOR(A) DE BICICLETA,,04/01/9529,"REPARAÇÃO DE BICICLETAS, TRICICLOS E OUTROS VEÍCULOS NÃO-MOTORIZADOS",S,N
REPARADOR(A) DE BRINQUEDOS,,9529-1/99,REPARAÇÃO E MANUTENÇÃO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
"REPARADOR(A) DE CORDAS, VELAMES E LONAS",,3319-8/00,MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
REPARADOR(A) DE EMBARCAÇÕES PARA ESPORTE E LAZER,,02/01/3317,MANUTENÇÃO E REPARAÇÃO DE EMBARCAÇÕES PARA ESPORTE E LAZER,S,N
REPARADOR(A) DE EQUIPAMENTOS ESPORTIVOS,,9529-1/99,REPARAÇÃO E MANUTENÇÃO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
"REPARADOR(A) DE EQUIPAMENTOS HIDRÁULICOS E PNEUMÁTICOS, EXCETO VÁLVULAS",,02/07/3314,"MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS HIDRÁULICOS E PNEUMÁTICOS, EXCETO VÁLVULAS",S,N
REPARADOR(A) DE EQUIPAMENTOS MÉDICO-HOSPITALARES NÃO-ELETRÔNICOS,,3319-8/00,MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
REPARADOR(A) DE EXTINTOR DE INCÊNDIO,,10/07/3314,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE,S,N
REPARADOR(A) DE FILTROS INDUSTRIAIS,,10/07/3314,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE,S,N
"REPARADOR(A) DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS",,01/09/3313,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS",S,N
REPARADOR(A) DE GUARDA CHUVA E SOMBRINHAS,,9529-1/99,REPARAÇÃO E MANUTENÇÃO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
REPARADOR(A) DE INSTRUMENTOS MUSICAIS,,9529-1/99,REPARAÇÃO E MANUTENÇÃO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
"REPARADOR(A) DE MÁQUINAS DE ESCREVER, CALCULAR E DE OUTROS EQUIPAMENTOS NÃO-ELETRÔNICOS PARA ESCRITÓRIO",,09/07/3314,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS DE ESCREVER, CALCULAR E DE OUTROS EQUIPAMENTOS NÃO-ELETRÔNICOS PARA ESCRITÓRIO",S,N
REPARADOR(A) DE MÁQUINAS E APARELHOS DE REFRIGERAÇÃO E VENTILAÇÃO PARA USO INDUSTRIAL E COMERCIAL,,07/07/3314,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E APARELHOS DE REFRIGERAÇÃO E VENTILAÇÃO PARA USO INDUSTRIAL E COMERCIAL,S,N
REPARADOR(A) DE MÁQUINAS E APARELHOS PARA A INDÚSTRIA GRÁFICA,,3314-7/99,MANUTENÇÃO E REPARAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS PARA USOS INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
REPARADOR(A) DE MÁQUINAS E EQUIPAMENTOS PARA A INDÚSTRIA DA MADEIRA,,3314-7/99,MANUTENÇÃO E REPARAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS PARA USOS INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
"REPARADOR(A) DE MÁQUINAS E EQUIPAMENTOS PARA A INDÚSTRIA TÊXTIL, DO VESTUÁRIO, DO COURO E CALÇADOS",,20/07/3314,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA A INDÚSTRIA TÊXTIL, DO VESTUÁRIO, DO COURO E CALÇADOS",S,N
REPARADOR(A) DE MÁQUINAS E EQUIPAMENTOS PARA AGRICULTURA E PECUÁRIA,,11/07/3314,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA AGRICULTURA E PECUÁRIA,S,N
"REPARADOR(A) DE MÁQUINAS E EQUIPAMENTOS PARA AS INDÚSTRIAS DE ALIMENTOS, BEBIDAS E FUMO",,19/07/3314,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA AS INDÚSTRIAS DE ALIMENTOS, BEBIDAS E FUMO",S,N
REPARADOR(A) DE MÁQUINAS MOTRIZES NÃO-ELÉTRICAS,,01/07/3314,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS MOTRIZES NÃO-ELÉTRICAS,S,N
REPARADOR(A) DE MÁQUINAS PARA BARES E LANCHONETES,,10/07/3314,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE,S,N
REPARADOR(A) DE MÁQUINAS PARA ENCADERNAÇÃO,,3314-7/99,MANUTENÇÃO E REPARAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS PARA USOS INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
"REPARADOR(A) DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA INSTALAÇÕES TÉRMICAS",,06/07/3314,"MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA INSTALAÇÕES TÉRMICAS",S,N
REPARADOR(A) DE MÓVEIS,,05/01/9529,REPARAÇÃO DE ARTIGOS DO MOBILIÁRIO,S,N
REPARADOR(A) DE PANELAS (PANELEIRO),,9529-1/99,REPARAÇÃO E MANUTENÇÃO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
"REPARADOR(A) DE TANQUES, RESERVATÓRIOS METÁLICOS E CALDEIRAS, EXCETO PARA VEÍCULOS",,3311-2/00,"MANUTENÇÃO E REPARAÇÃO DE TANQUES, RESERVATÓRIOS METÁLICOS E CALDEIRAS, EXCETO PARA VEÍCULOS",S,N
REPARADOR(A) DE TOLDOS E PERSIANAS,,05/01/9529,REPARAÇÃO DE ARTIGOS DO MOBILIÁRIO,S,N
"REPARADOR(A) DE TONÉIS, BARRIS E PALETES DE MADEIRA",,3319-8/00,MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
REPARADOR(A) DE TRATORES AGRÍCOLAS,,12/07/3314,MANUTENÇÃO E REPARAÇÃO DE TRATORES AGRÍCOLAS,S,N
REPARADOR(A) DE VEÍCULOS DE TRAÇÃO ANIMAL,,3319-8/00,MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
RESTAURADOR(A) DE INSTRUMENTOS MUSICAIS HISTÓRICOS,,3319-8/00,MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
RESTAURADOR(A) DE JOGOS ACIONADOS POR MOEDAS,,3319-8/00,MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
RESTAURADOR(A) DE LIVROS,,9529-1/99,REPARAÇÃO E MANUTENÇÃO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE,S,N
RESTAURADOR(A) DE OBRAS DE ARTE,,02/07/9002,RESTAURAÇÃO DE OBRAS DE ARTE,S,N
RESTAURADOR(A) DE PRÉDIOS HISTÓRICOS,,02/03/9102,RESTAURAÇÃO E CONSERVAÇÃO DE LUGARES E PRÉDIOS HISTÓRICOS,S,N
RETIFICADOR(A) DE MOTORES PARA VEÍCULOS AUTOMOTORES,,2950-6/00,RECONDICIONAMENTO E RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES,S,N
REVELADOR(A) FOTOGRÁFICO,,7420-0/03,LABORATÓRIOS FOTOGRÁFICOS,S,N
SALGADEIRO(A),,04/01/5620,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR,N,S
SALINEIRO/EXTRATOR DE SAL MARINHO,,01/04/0892,EXTRAÇÃO DE SAL MARINHO,N,S
SALSICHEIRO(A)/LINGUICEIRO(A),,01/09/1013,FABRICAÇÃO DE PRODUTOS DE CARNE,N,S
SAPATEIRO(A),,01/01/9529,"REPARAÇÃO DE CALÇADOS, DE BOLSAS E ARTIGOS DE VIAGEM",S,N
SEGURANÇA INDEPENDENTE ,(Incluído pela Resolução CGSN nº 117/2014),01/01/8011,ATIVIDADES DE VIGILÂNCIA E SEGURANÇA PRIVADA,S,N
SELEIRO(A),,1529-7/00,FABRICAÇÃO DE ARTEFATOS DE COURO NÃO ESPECIFICADOS ANTERIORMENTE,N,S
SEPULTADOR,,03/03/9603,SERVIÇOS DE SEPULTAMENTO,S,N
SERIGRAFISTA,,1813-0/99,IMPRESSÃO DE MATERIAL PARA OUTROS USOS,S,S
SERIGRAFISTA PUBLICITÁRIO,,1813-0/01,IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO,S,S
SINTEQUEIRO(A),,05/04/4330,APLICAÇÃO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES,S,N
SOLDADOR(A) / BRASADOR(A),,2539-0/01,"SERVIÇOS DE USINAGEM, TORNEARIA E SOLDA",S,N
SORVETEIRO(A),,4729-6/99,COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
SORVETEIRO(A) AMBULANTE,,5612-1/00,SERVIÇOS AMBULANTES DE ALIMENTAÇÃO,N,S
TANOEIRO(A),,1623-4/00,FABRICAÇÃO DE ARTEFATOS DE TANOARIA E DE EMBALAGENS DE MADEIRA,N,S
TAPECEIRO(A),,1352-9/00,FABRICAÇÃO DE ARTEFATOS DE TAPEÇARIA,N,S
TATUADOR(A),,06/02/9609,SERVIÇOS DE TATUAGEM E COLOCAÇÃO DE PIERCING,S,N
TAXISTA,,4923-0/01,SERVIÇO DE TÁXI,S,N
TECELÃO(Ã),,1322-7/00,"TECELAGEM DE FIOS DE FIBRAS TÊXTEIS NATURAIS, EXCETO ALGODÃO",N,S
TECELÃO(Ã) DE ALGODÃO,,1321-9/00,TECELAGEM DE FIOS DE ALGODÃO,N,S
TÉCNICO(A) DE MANUTENÇÃO DE COMPUTADOR,,9511-8/00,REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPAMENTOS PERIFÉRICOS,S,N
TÉCNICO(A) DE MANUTENÇÃO DE ELETRODOMÉSTICOS,,9521-5/00,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS ELETROELETRÔNICOS DE USO PESSOAL E DOMÉSTICO,S,N
TÉCNICO(A) DE MANUTENÇÃO DE TELEFONIA,,9512-6/00,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE COMUNICAÇÃO,S,N
TÉCNICO(A) DE SONORIZAÇÃO E DE ILUMINAÇÃO,,06/09/9001,ATIVIDADES DE SONORIZAÇÃO E DE ILUMINAÇÃO,S,N
TELHADOR(A),,4399-1/99,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,S,N
TINTUREIRO(A),,02/07/9601,TINTURARIAS,S,N
TORNEIRO(A) MECÂNICO,,2539-0/01,"SERVIÇOS DE USINAGEM, TORNEARIA E SOLDA",S,N
TOSADOR(A) DE ANIMAIS DOMÉSTICOS,(Redação dada pela Resolução CGSN nº 117/2014),07/02/9609,HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMÉSTICOS,S,N
TOSQUIADOR(A),,02/08/0162,SERVIÇO DE TOSQUIAMENTO DE OVINOS,S,N
TRANSPORTADOR(A) AQUAVIÁRIO PARA PASSEIOS TURÍSTICOS,,01/08/5099,TRANSPORTE AQUAVIÁRIO PARA PASSEIOS TURÍSTICOS,S,N
TRANSPORTADOR(A) DE MUDANÇAS,,04/02/4930,TRANSPORTE RODOVIÁRIO DE MUDANÇAS,S,S
TRANSPORTADOR(A) ESCOLAR,,4924-8/00,TRANSPORTE ESCOLAR,S,N
TRANSPORTADOR(A) INTERMUNICIPAL DE PASSAGEIROS SOB FRETE EM REGIÃO METROPOLITANA ,(Incluído pela Resolução CGSN nº 117/2014),02/09/4929,"TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",N,S
TRANSPORTADOR(A) INTERMUNICIPAL E INTERESTADUAL DE TRAVESSIA POR NAVEGAÇÃO FLUVIAL ,(Incluído pela Resolução CGSN nº 117/2014),02/02/5091,"TRANSPORTE POR NAVEGAÇÃO DE TRAVESSIA, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",N,S
TRANSPORTADOR(A) MARÍTIMO DE CARGA,,01/04/5011,TRANSPORTE MARÍTIMO DE CABOTAGEM - CARGA,N,S
TRANSPORTADOR(A) MUNICIPAL DE CARGAS NÃO PERIGOSAS(CARRETO),,01/02/4930,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL",S,N
TRANSPORTADOR(A) MUNICIPAL DE PASSAGEIROS SOB FRETE,,01/09/4929,"TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL",S,N
TRANSPORTADOR(A) MUNICIPAL DE TRAVESSIA POR NAVEGAÇÃO,,01/02/5091,"TRANSPORTE POR NAVEGAÇÃO DE TRAVESSIA, MUNICIPAL",S,N
TRANSPORTADOR(A) MUNICIPAL HIDROVIÁRIO DE CARGAS,,01/01/5021,"TRANSPORTE POR NAVEGAÇÃO INTERIOR DE CARGA, MUNICIPAL, EXCETO TRAVESSIA",S,N
TRICOTEIRO(A),,1422-3/00,"FABRICAÇÃO DE ARTIGOS DO VESTUÁRIO, PRODUZIDOS EM MALHARIAS E TRICOTAGENS, EXCETO MEIAS",N,S
VASSOUREIRO(A),,3291-4/00,"FABRICAÇÃO DE ESCOVAS, PINCÉIS E VASSOURAS",N,S
VENDEDOR(A) AMBULANTE DE PRODUTOS ALIMENTÍCIOS,,5612-1/00,SERVIÇOS AMBULANTES DE ALIMENTAÇÃO,N,S
"VENDEDOR(A) DE AVES VIVAS, COELHOS E OUTROS PEQUENOS ANIMAIS PARA ALIMENTAÇÃO",,4724-5/00,COMÉRCIO VAREJISTA DE HORTIFRUTIGRANJEIROS,N,S
VERDUREIRO,,4724-5/00,COMÉRCIO VAREJISTA DE HORTIFRUTIGRANJEIROS,N,S
VIDRACEIRO DE AUTOMÓVEIS,,4520-0/01,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,S,N
VIDRACEIRO DE EDIFICAÇÕES,,4330-4/99,OUTRAS OBRAS DE ACABAMENTO DA CONSTRUÇÃO,S,N
VIGILANTE INDEPENDENTE ,(Incluído pela Resolução CGSN nº 117/2014),01/01/8011,ATIVIDADES DE VIGILÂNCIA E SEGURANÇA PRIVADA,S,N
VINAGREIRO,,01/06/1099,FABRICAÇÃO DE VINAGRES,N,S
